BSE.Code,Name
533022,20 Microns Ltd
532628,3i Infotech Ltd
523395,3M India Ltd
526881,63 Moons Technologies Ltd
512161,8K Miles Software Services Ltd
539620,A Infrastructure Ltd
539300,A K Spintex Ltd
530499,A.K.Capital Services Ltd
533292,A2Z Infra Engineering Ltd
539096,Aananda Lakshmi Spinning Mills Ltd
538812,Aanchal Ispat Ltd
524412,Aarey Drugs & Pharmaceuticals Ltd
524348,Aarti Drugs Ltd
524208,Aarti Industries Ltd
514274,Aarvee Denims & Exports Ltd
519319,Aashee Infotech Ltd
539528,Aayush Food And Herbs Ltd
523204,Aban Offshore Ltd
512165,ABans Enterprises Ltd
500002,ABB India Ltd
500488,Abbott India Ltd
505665,ABC Bearings Ltd
520123,ABC India Ltd
532682,ABG Shipyard Ltd
532057,Abhinav Capital Services Ltd
538952,Abhinav Leasing & Finance Ltd
532831,Abhishek Corporation Ltd
538935,Abhishek Finlease Ltd
511756,Abirami Financial Services (India) Ltd
531161,ABM Knowledgeware Ltd
500410,ACC Ltd
517494,Accel Transmatic Ltd
532268,Accelya Kale Solutions Ltd
530093,ACE EduTrend Ltd
539661,Ace Men Engg Works Ltd
531525,Ace Software Exports Ltd
538570,Achal Investments Ltd
530043,Acknit Industries Ltd
539391,Acme Resources Ltd
513149,Acrow India Ltd
524091,Acrysil Ltd
532762,Action Construction Equipments Ltd
511359,AD Manum Finance Ltd
512599,Adani Enterprises Ltd
532921,Adani Ports & Special Economic Zone Ltd
533096,Adani Power Ltd
539254,Adani Transmission Ltd
538563,Adarsh Mercantile Ltd
523411,ADC India Communications Ltd
507852,Addi Industries Ltd
519183,ADF Foods Ltd
539189,Adhbhut Infrastructure Ltd
532727,Adhunik Metaliks Ltd
531592,Adi Rasayan Ltd
532056,Adinath Exim Resources Ltd
514113,Adinath Textiles Ltd
540691,Aditya Birla Capital Ltd
535755,Aditya Birla Fashion & Retail Ltd
532974,Aditya Birla Money Ltd
513513,Aditya Ispat Ltd
539056,Adlabs Entertainment Ltd
530431,Ador Fontech Ltd
523120,Ador Multi Products Ltd
517041,Ador Welding Ltd
521048,Advance Lifestyles Ltd
531047,Advance Powerinfra Tech Ltd
